target_child_name,target_child_sex,utt_count,adj_gloss_count,appearance_word_count,without_pretty,appearance_proportion,without_pretty_proportion
Aaron,male,122,17,0,0,0,0
Adam,male,336,36,1,0,0.027777777777777800,0
Alex,male,30389,4606,195,167,0.04233608336951800,0.03625705601389490
Alfred,male,139,17,0,0,0,0
Alice,female,3640,330,9,6,0.02727272727272730,0.01818181818181820
Allen,male,150,19,0,0,0,0
Anthony,male,81,12,0,0,0,0
Benjamin,male,1161,195,3,0,0.015384615384615400,0
Brian,male,195,19,0,0,0,0
Brooke,female,162,25,0,0,0,0
Carol,female,169,32,0,0,0,0
Danielle,female,148,17,0,0,0,0
David,male,1366,76,2,0,0.02631578947368420,0
Doug,male,143,7,0,0,0,0
Emily,female,191,23,0,0,0,0
Emma,female,275,47,2,0,0.0425531914893617,0
Erica,female,233,24,2,0,0.08333333333333330,0
Ethan,male,36291,6225,98,20,0.0157429718875502,0.00321285140562249
Jarret,male,223,19,0,0,0,0
Jas,male,272,14,0,0,0,0
Jase,male,2640,227,2,0,0.00881057268722467,0
Jeff,male,155,9,5,0,0.5555555555555560,0
Jessica,female,191,37,0,0,0,0
Jillian,female,3687,697,25,12,0.03586800573888090,0.01721664275466280
Johnnie,male,346,23,0,0,0,0
Katie,female,144,31,0,0,0,0
Kevin,male,252,43,0,0,0,0
Kimberly,female,182,24,0,0,0,0
Laura,female,2923,374,12,4,0.03208556149732620,0.0106951871657754
Laurel,female,514,76,0,0,0,0
Lily,female,57276,13036,306,178,0.023473458115986500,0.01365449524393990
Martin,male,1150,140,0,0,0,0
Matt,male,4815,1122,20,6,0.017825311942959000,0.0053475935828877
Matthew,male,96,14,0,0,0,0
Megan,female,256,16,0,0,0,0
Naima,female,53393,10297,81,43,0.007866368845294750,0.0041759735845391900
Nanette,female,904,128,3,1,0.0234375,0.0078125
Nicole,female,246,24,0,0,0,0
Patricia,female,1021,156,1,0,0.00641025641025641,0
Patrick,male,16,3,0,0,0,0
Peter,male,87,11,0,0,0,0
Richard,male,572,42,0,0,0,0
Rick,male,1910,139,6,1,0.04316546762589930,0.007194244604316550
Robert,male,101,13,1,0,0.07692307692307690,0
Roman,male,154,26,1,1,0.038461538461538500,0.038461538461538500
Ronny,male,1075,103,0,0,0,0
Sarah,female,95,21,1,0,0.047619047619047600,0
Shawna,female,71,4,0,0,0,0
Stephen,male,263,49,0,0,0,0
Tommy,male,161,20,2,0,0.1,0
Victor,male,837,150,1,0,0.006666666666666670,0
Violet,female,22689,4047,125,66,0.0308870768470472,0.01630837657524090
Wendy,female,266,32,0,0,0,0
William,male,24974,3765,49,33,0.01301460823373170,0.008764940239043830
Laura_Aurie,female,70,0,0,0,0,0
Scott,male,135,0,0,0,0,0